"","X","OCC_CODE","OCC_TITLE","OCC_GROUP","TOT_EMP","EMP_PRSE","H_MEAN","A_MEAN","MEAN_PRSE","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90","ANNUAL","HOURLY"
"1",1,"00-0000","All Occupations","total","132,588,810",0.1,22.33,"46,440",0.1,8.74,10.9,16.87,27.34,"42.47","18,190","22,670","35,080","56,860","88,330",NA,NA
"2",2,"11-0000","Management Occupations","major","6,542,950",0.2,53.15,"110,550",0.1,22.28,32.05,45.96,66.45,"#","46,340","66,660","95,600","138,220","#",NA,NA
"3",71,"13-0000","Business and Financial Operations Occupations","major","6,658,090",0.3,34.14,"71,020",0.2,17.14,22.67,30.67,41.38,"54.64","35,650","47,160","63,800","86,070","113,650",NA,NA
"4",129,"15-0000","Computer and Mathematical Occupations","major","3,696,180",0.5,39.43,"82,010",0.5,19.56,26.96,37.43,49.86,"62.79","40,680","56,070","77,860","103,700","130,600",NA,NA
"5",162,"17-0000","Architecture and Engineering Occupations","major","2,380,840",0.5,38.51,"80,100",0.2,19.68,26.51,35.83,47.55,"60.70","40,940","55,140","74,530","98,910","126,250",NA,NA
"6",222,"19-0000","Life, Physical, and Social Science Occupations","major","1,135,030",0.8,33.37,"69,400",0.4,15.24,20.63,29.26,41.9,"55.90","31,700","42,900","60,860","87,160","116,280",NA,NA
"7",293,"21-0000","Community and Social Service Occupations","major","1,901,730",0.4,21.5,"44,710",0.3,11.35,14.79,19.62,26.76,"34.76","23,610","30,770","40,810","55,660","72,290",NA,NA
"8",320,"23-0000","Legal Occupations","major","1,041,700",0.5,47.89,"99,620",0.5,17.04,23.5,36.59,63.24,"#","35,450","48,880","76,100","131,530","#",NA,NA
"9",336,"25-0000","Education, Training, and Library Occupations","major","8,400,640",0.3,24.76,"51,500",0.5,10,14.66,22.19,31.01,"41.83","20,800","30,490","46,140","64,500","87,000",NA,NA
"10",432,"27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major","1,758,310",0.5,26.72,"55,580",0.8,9.57,14.05,21.45,32.77,"47.43","19,910","29,220","44,610","68,150","98,660",NA,NA
"11",494,"29-0000","Healthcare Practitioners and Technical Occupations","major","7,755,810",0.3,35.93,"74,740",0.2,15.01,20.85,29.38,41.48,"63.24","31,220","43,360","61,120","86,270","131,530",NA,NA
"12",586,"31-0000","Healthcare Support Occupations","major","3,924,390",0.4,13.61,"28,300",0.2,8.73,10.18,12.54,15.96,"20.02","18,150","21,170","26,080","33,190","41,640",NA,NA
"13",612,"33-0000","Protective Service Occupations","major","3,257,690",0.4,20.92,"43,510",0.7,9.13,11.73,17.68,27.34,"38.03","18,990","24,390","36,770","56,860","79,100",NA,NA
"14",653,"35-0000","Food Preparation and Serving Related Occupations","major","11,914,590",0.1,10.38,"21,580",0.2,7.89,8.42,9.15,11.19,"14.73","16,410","17,500","19,020","23,270","30,640",NA,NA
"15",687,"37-0000","Building and Grounds Cleaning and Maintenance Occupations","major","4,291,410",0.3,12.51,"26,010",0.2,8.18,9.04,11.04,14.6,"19.22","17,020","18,800","22,970","30,360","39,980",NA,NA
"16",705,"39-0000","Personal Care and Service Occupations","major","3,986,740",0.4,11.88,"24,710",0.2,8.01,8.71,10.1,13.16,"18.29","16,660","18,110","21,010","27,370","38,040",NA,NA
"17",767,"41-0000","Sales and Related Occupations","major","14,068,190",0.2,18.37,"38,200",0.2,8.25,9.12,12.1,20.93,"35.78","17,160","18,960","25,160","43,540","74,430",NA,NA
"18",810,"43-0000","Office and Administrative Support Occupations","major","21,442,800",0.1,16.78,"34,900",0.1,9.27,11.69,15.39,20.47,"26.54","19,290","24,320","32,010","42,570","55,200",NA,NA
"19",923,"45-0000","Farming, Fishing, and Forestry Occupations","major","435,250",1,11.7,"24,330",0.5,8.25,8.67,9.32,13.05,"18.77","17,160","18,020","19,380","27,150","39,040",NA,NA
"20",950,"47-0000","Construction and Extraction Occupations","major","5,088,030",0.3,21.94,"45,630",0.2,11.41,14.61,19.55,27.54,"36.02","23,720","30,380","40,670","57,290","74,920",NA,NA
"21",1054,"49-0000","Installation, Maintenance, and Repair Occupations","major","5,138,130",0.3,21.35,"44,420",0.1,11.01,14.69,19.92,26.95,"34.18","22,900","30,550","41,440","56,050","71,090",NA,NA
"22",1130,"51-0000","Production Occupations","major","8,765,180",0.3,16.79,"34,930",0.2,9.08,11.17,15.03,20.5,"27.44","18,890","23,240","31,250","42,650","57,080",NA,NA
"23",1298,"53-0000","Transportation and Material Moving Occupations","major","9,005,120",0.3,16.28,"33,860",0.3,8.59,10.1,13.99,19.6,"27.08","17,860","21,010","29,100","40,760","56,320",NA,NA
