"","ST","STATE","OCC_CODE","OCC_TITLE","OCC_GROUP","TOT_EMP","EMP_PRSE","H_MEAN","A_MEAN","MEAN_PRSE","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90"
"1","AL","Alabama","00-0000","All Occupations","total",12,0.4,19.35,16,0.5,8.27,9.62,14.61,23.64,35.4,7,7,9,19,27
"2","AK","Alaska","00-0000","All Occupations","total",33,1.4,25.53,49,1.4,10.12,14.15,21.32,32.53,44.63,49,51,53,51,52
"3","AZ","Arizona","00-0000","All Occupations","total",17,0.7,21.33,32,0.8,8.76,10.87,16.43,25.91,40.08,30,28,31,33,43
"4","AR","Arkansas","00-0000","All Occupations","total",3,0.7,17.95,6,1.1,8.21,9.43,13.9,21.28,31.93,4,5,5,7,13
"5","CA","California","00-0000","All Occupations","total",15,0.3,25.49,48,0.4,9.08,11.55,18.71,32.41,50.58,43,37,46,49,4
"6","CO","Colorado","00-0000","All Occupations","total",16,0.4,23.53,42,0.5,8.96,11.68,18.04,28.94,44.3,38,40,45,43,50
"7","CT","Connecticut","00-0000","All Occupations","total",8,0.5,26.16,50,1,9.36,12.69,20.33,32.86,47.39,44,48,51,53,54
"8","DE","Delaware","00-0000","All Occupations","total",36,1.2,23.68,43,1.7,8.85,11.55,17.94,29.1,44.55,32,35,42,44,51
"9","DC","District of Columbia","00-0000","All Occupations","total",48,0.6,37.04,53,7.1,11.55,18.08,30.62,49.98,70.1,50,52,54,1,7
"10","FL","Florida","00-0000","All Occupations","total",49,0.3,19.78,18,0.4,8.59,10.09,14.74,23.19,35.92,21,13,11,16,30
"11","GA","Georgia","00-0000","All Occupations","total",30,0.3,21.17,30,0.5,8.38,10.12,15.63,25.83,39.95,11,14,24,32,42
"12","HI","Hawaii","00-0000","All Occupations","total",45,1,21.84,36,2,8.97,11.98,17.75,27,39.61,39,46,39,40,40
"13","ID","Idaho","00-0000","All Occupations","total",46,0.8,18.67,8,1,8.36,10.01,14.68,22.5,33.87,10,11,10,9,17
"14","IL","Illinois","00-0000","All Occupations","total",42,0.5,22.92,40,0.6,9.05,10.9,17.18,28.72,43.46,42,30,36,42,48
"15","IN","Indiana","00-0000","All Occupations","total",24,0.6,19.61,17,0.5,8.45,10.33,15.38,23.78,35.17,16,20,19,20,26
"16","IA","Iowa","00-0000","All Occupations","total",6,0.9,19.35,16,0.9,8.53,10.6,15.57,23.21,34.03,19,24,23,17,20
"17","KS","Kansas","00-0000","All Occupations","total",5,1,19.83,19,0.7,8.5,10.46,15.44,24.01,35.59,17,21,20,22,28
"18","KY","Kentucky","00-0000","All Occupations","total",10,0.6,19,12,0.6,8.4,10.14,15.01,23.08,33.81,13,16,15,14,16
"19","LA","Louisiana","00-0000","All Occupations","total",13,0.4,18.99,11,0.4,8.31,9.84,15.03,23.1,34.02,9,9,16,15,19
"20","ME","Maine","00-0000","All Occupations","total",43,0.6,19.92,20,1,8.87,11.13,16.06,23.91,34.72,33,32,28,21,24
