state,latitude,longitude,zoomval,
AK,61.385,-152.2683,5,
AL,32.799,-86.8073,7,
AR,34.9513,-92.3809,7,
AS,14.2417,-170.7197,6,
AZ,33.7712,-111.3877,7,
CA,36.17,-119.7462,6,
CO,39.0646,-105.3272,7,
CT,41.5834,-72.7622,8,
DC,38.8964,-77.0262,8,
DE,39.3498,-75.5148,8,
FL,27.8333,-81.717,7,
GA,32.9866,-83.6487,7,
HI,21.1098,-157.5311,8,
IA,42.0046,-93.214,7,
ID,44.2394,-114.5103,7,
IL,40.3363,-89.0022,7,
IN,39.8647,-86.2604,7,
KS,38.5111,-96.8005,7,
KY,37.669,-84.6514,7,
LA,31.1801,-91.8749,7,
MA,42.2373,-71.5314,8,
MD,39.0724,-76.7902,8,
ME,44.6074,-69.3977,7,
MI,43.3504,-84.5603,7,
MN,45.7326,-93.9196,7,
MO,38.4623,-92.302,7,
MP,14.8058,145.5505,8,
MS,32.7673,-89.6812,7,
MT,46.9048,-110.3261,7,
NC,35.6411,-79.8431,7,
ND,47.5362,-99.793,7,
NE,41.1289,-98.2883,6,
NH,43.4108,-71.5653,8,
NJ,40.314,-74.5089,8,
NM,34.8375,-106.2371,7,
NV,38.4199,-117.1219,7,
NY,42.1497,-74.9384,7,
OH,40.3736,-82.7755,7,
OK,35.5376,-96.9247,7,
OR,44.5672,-122.1269,7,
PA,40.5773,-77.264,7,
PR,18.2766,-66.335,8,
RI,41.6772,-71.5101,8,
SC,33.8191,-80.9066,7,
SD,44.2853,-99.4632,7,
TN,35.7449,-86.7489,7,
TX,31.106,-97.6475,6,
UT,40.1135,-111.8535,7,
VA,37.768,-78.2057,7,
VI,18.0001,-64.8199,8,
VT,44.0407,-72.7093,8,
WA,47.3917,-121.5708,7,
WI,44.2563,-89.6385,7,
WV,38.468,-80.9696,7,
WY,42.7475,-107.2085,7,
