"","OCC_CODE","OCC_TITLE","OCC_GROUP","TOT_EMP","EMP_PRSE","H_MEAN","A_MEAN","MEAN_PRSE","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90","ANNUAL","HOURLY","indclass","title","description","occupation_code","publish_date","qf_median_pay_annual_value","qf_median_pay_hourly_value","qf_entry_level_education","qf_number_of_jobs","qf_employment_outlook","qf_employment_openings"
"1","11-1011","Chief Executives","detailed",248760,0.6,"85.77",178400,0.3,"36.07","53.18","82.50","#","#",75030,110610,171610,NA,NA,NA,NA,"Management","Top Executives","Top executives devise strategies and policies to ensure that an organization meets its goals. They plan, direct, and coordinate operational activities of companies and organizations.","Q039","2014-00-08",101650,48.87,"Bachelor's degree",2303200,11,261500
"2","11-2011","Advertising and Promotions Managers","detailed",28530,2.7,"54.27",112870,1.5,"21.70","30.95","45.13","69.83","#",45140,64370,93880,145250,NA,NA,NA,"Management","Advertising, Promotions, and Marketing Managers","Advertising, promotions, and marketing managers plan programs to generate interest in a product or service. They work with art directors, sales agents, and financial staff members.","Q016","2014-00-08",115750,55.65,"Bachelor's degree",216000,12,25400
"3","11-2022","Sales Managers","detailed",352220,0.7,"59.21",123150,0.3,"25.85","35.52","52.18","74.56","#",53770,73880,108540,155090,NA,NA,NA,"Management","Sales Managers","Sales managers direct sales teams of organizations. They set sales goals, analyze data, and develop training programs for the sales representatives of the organization.","Q018","2014-00-08",105260,50.6,"Bachelor's degree",359300,8,29800
"4","11-2031","Public Relations and Fundraising Managers","detailed",53730,1.2,"53.49",111260,0.6,"25.65","34.54","47.45","66.21","88.60",53360,71830,98700,137710,184290,NA,NA,"Management","Public Relations and Fundraising Managers","Public relations managers plan and direct the creation of material that will maintain or enhance the public image of their employer or client. Fundraising managers coordinate campaigns that bring in donations for their organization.","Q019","2014-00-08",95450,45.89,"Bachelor's degree",62100,13,8000
"5","11-3011","Administrative Services Managers","detailed",269500,0.6,"43.36",90190,0.3,"21.56","29.42","39.57","53.13","69.76",44850,61200,82310,110500,145100,NA,NA,"Management","Administrative Services Managers","Administrative services managers plan, direct, and coordinate supportive services of an organization. Their specific responsibilities vary by the type of organization and may include keeping records, distributing mail, and planning and maintaining facilities.","Q020","2014-00-08",81080,38.98,"Bachelor's degree",280800,12,34200
"6","11-3021","Computer and Information Systems Managers","detailed",319080,0.9,"63.74",132570,0.4,"36.74","46.56","59.59","75.27","#",76420,96850,123950,156560,NA,NA,NA,"Management","Computer and Information Systems Managers","Computer and information systems managers, often called information technology (IT) managers or IT project managers, plan, coordinate, and direct computer-related activities in an organization. They help determine the information technology goals of an organization and are responsible for implementing computer systems to meet those goals.","Q021","2014-00-08",120950,58.15,"Bachelor's degree",332700,15,50900
"7","11-3031","Financial Managers","detailed",499320,0.5,"60.89",126660,0.3,"29.48","39.32","54.18","74.02","#",61320,81780,112700,153970,NA,NA,NA,"Management","Financial Managers","Financial managers are responsible for the financial health of an organization. They produce financial reports, direct investment activities, and develop strategies and plans for the long-term financial goals of their organization.","Q022","2014-00-08",109740,52.76,"Bachelor's degree",532100,9,47100
"8","11-3051","Industrial Production Managers","detailed",165340,0.6,"47.78",99370,0.3,"26.56","33.86","43.65","56.77","73.36",55250,70430,90790,118090,152590,NA,NA,"Management","Industrial Production Managers","Industrial production managers oversee the daily operations of manufacturing and related plants. They coordinate, plan, and direct the activities used to create a wide range of goods, such as cars, computer equipment, or paper products.Industrial production managers oversee the daily operations of manufacturing and related plants. They coordinate, plan, and direct the activities used to create a wide range of goods, such as cars, computer equipment, or paper products.","Q026","2014-00-08",89190,42.88,"Bachelor's degree",172700,-2,-4100
"9","11-3061","Purchasing Managers","detailed",69620,0.8,"52.71",109640,0.4,"28.64","37.21","49.89","64.28","79.72",59560,77390,103780,133700,165810,NA,NA,"Management","Purchasing Managers, Buyers, and Purchasing Agents","Purchasing managers, buyers, and purchasing agents buy products for organizations to use or resell. They evaluate suppliers, negotiate contracts, and review product quality.","Q324","2014-00-08",60550,29.11,"",504600,4,19700
"10","11-3111","Compensation and Benefits Managers","detailed",17570,1.3,"53.87",112040,0.7,"26.85","35.99","48.79","66.23","87.24",55840,74850,101490,137760,181470,NA,NA,"Management","Compensation and Benefits Managers","Compensation managers plan, direct, and coordinate how much an organization pays its employees and how employees are paid. Benefits managers plan, direct, and coordinate retirement plans, health insurance, and other benefits that an organization offers its employees.","Q023","2014-00-08",95250,45.79,"Bachelor's degree",20700,3,600
"11","11-3121","Human Resources Managers","detailed",110650,0.6,"53.45",111180,0.3,"28.26","36.90","48.46","64.99","85.32",58780,76750,100800,135180,177460,NA,NA,"Management","Human Resources Managers","Human resources managers plan, direct, and coordinate the administrative functions of an organization. They oversee the recruiting, interviewing, and hiring of new staff; consult with top executives on strategic planning; and serve as a link between an organization’s management and its employees.","Q025","2014-00-08",99720,47.94,"Bachelor's degree",102700,13,13600
"12","11-3131","Training and Development Managers","detailed",28340,1.3,"51.81",107770,0.6,"27.32","35.99","47.50","63.37","82.40",56840,74860,98810,131820,171400,NA,NA,"Management","Training and Development Managers","Training and development managers plan, direct, and coordinate programs to enhance the knowledge and skills of an organization’s employees. They also oversee a staff of training and development specialists.","Q024","2014-00-08",95400,45.86,"Bachelor's degree",28600,11,3200
"13","11-9013","Farmers, Ranchers, and Other Agricultural Managers","detailed",3770,7.9,"35.20",73210,2.5,"16.27","23.12","33.71","43.89","57.47",33840,48080,70110,91290,119530,NA,NA,"Management","Farmers, Ranchers, and Other Agricultural Managers","Farmers, ranchers, and other agricultural managers run establishments that produce crops, livestock, and dairy products.","Q027","2014-00-08",69300,33.32,"High school diploma or equivalent",930600,-19,-179900
"14","11-9021","Construction Managers","detailed",213720,1.1,"44.57",92700,0.4,"24.14","31.20","40.58","53.71","70.36",50220,64890,84410,111710,146340,NA,NA,"Management","Construction Managers","Construction managers plan, coordinate, budget, and supervise construction projects from development to completion.","Q028","2014-00-08",82790,39.8,"Bachelor's degree",485000,16,78200
"15","11-9031","Education Administrators, Preschool and Childcare Center/Program","detailed",47560,1.7,"25.00",52010,1,"13.44","16.48","21.58","30.17","42.13",27950,34280,44890,62740,87630,NA,NA,"Management","Preschool and Childcare Center Directors","Preschool and childcare center directors direct and lead staffs, oversee daily activities, and prepare plans and budgets. They are responsible for all aspects of their center’s program. ","Q029","2014-00-08",43950,21.13,"Bachelor's degree",63800,17,10900
"16","11-9032","Education Administrators, Elementary and Secondary School","detailed",226760,0.6,"*",90670,0.7,"*","*","*","*","*",59010,71460,88380,108780,128110,TRUE,NA,"Management","Elementary, Middle, and High School Principals","Elementary, middle, and high school principals are responsible for managing all school operations. They manage daily school activities, coordinate curricula, and oversee teachers and other school staff to provide a safe and productive learning environment for students.","Q030","2014-00-08",87760,NA,"Master's degree",231500,6,13100
"17","11-9033","Education Administrators, Postsecondary","detailed",126340,1.1,"48.37",100600,0.6,"23.88","31.17","42.02","58.01","82.23",49660,64830,87410,120660,171040,NA,NA,"Management","Postsecondary Education Administrators","Postsecondary education administrators oversee student services, academics, and faculty research at colleges and universities. Their job duties vary depending on the area of the college they manage, such as admissions, student life, or the office of the registrar.","Q031","2014-00-08",86490,41.58,"Master's degree",161800,15,23500
"18","11-9041","Architectural and Engineering Managers","detailed",183430,1.1,"65.65",136540,0.5,"39.35","49.12","61.62","76.84","#",81840,102160,128170,159830,NA,NA,NA,"Management","Architectural and Engineering Managers","Architectural and engineering managers plan, coordinate, and direct activities in architectural and engineering companies.","Q032","2014-00-08",124870,60.03,"Bachelor's degree",193800,7,13100
"19","11-9051","Food Service Managers","detailed",191030,1.1,"25.54",53130,0.4,"14.68","18.50","23.12","30.23","39.60",30540,38480,48080,62890,82370,NA,NA,"Management","Food Service Managers","Food service managers are responsible for the daily operations of restaurants and other establishments that prepare and serve food and beverages to customers. Managers ensure that customers are satisfied with their dining experience. ","Q033","2014-00-08",47960,23.06,"High school diploma or equivalent",321400,2,5000
"20","11-9071","Gaming Managers","detailed",4460,4.3,"35.46",73760,1.6,"18.64","24.34","31.83","41.37","56.47",38770,50640,66200,86050,117450,NA,NA,"Management","Gaming Services Occupations","Gaming services workers serve customers in gambling establishments, such as casinos or racetracks. Some workers tend slot machines deal cards, or oversee other gaming activities such as keno or bingo. Others take bets or pay out winnings. Still others supervise or manage gaming workers and operations.","Q228","2014-00-08",20210,9.71,"High school diploma or equivalent",182200,10,17900
"21","11-9081","Lodging Managers","detailed",30950,2.2,"26.83",55810,1.2,"13.73","17.28","22.51","31.55","44.46",28550,35950,46830,65630,92480,NA,NA,"Management","Lodging Managers","Lodging managers ensure that guests on vacation or business travel have a pleasant experience at a hotel, motel, or other types of establishment with accommodations. They also ensure that the establishment is run efficiently and profitably.","Q034","2014-00-08",46810,22.5,"High school diploma or equivalent",50400,1,700
"22","11-9111","Medical and Health Services Managers","detailed",300180,0.6,"48.72",101340,0.3,"26.67","34.11","43.72","56.60","74.58",55470,70960,90940,117740,155130,NA,NA,"Management","Medical and Health Services Managers","Medical and health services managers, also called healthcare executives or healthcare administrators, plan, direct, and coordinate medical and health services. They might manage an entire facility or specialize in managing a specific clinical area or department, or manage a medical practice for a group of physicians. Medical and health services managers must be able to adapt to changes in healthcare laws, regulations, and technology.","Q035","2014-00-08",88580,42.59,"Bachelor's degree",315500,23,73300
"23","11-9121","Natural Sciences Managers","detailed",51900,2.1,"63.87",132850,1.4,"31.53","43.01","56.17","77.15","#",65580,89460,116840,160470,NA,NA,NA,"Management","Natural Sciences Managers","Natural sciences managers supervise the work of scientists, including chemists, physicists, and biologists. They direct activities related to research and development, and coordinate activities such as testing, quality control, and production.","Q036","2014-00-08",115730,55.64,"Bachelor's degree",51600,6,2900
"24","11-9141","Property, Real Estate, and Community Association Managers","detailed",165960,1.2,"30.90",64270,0.8,"13.01","17.88","25.58","37.22","54.92",27060,37190,53200,77430,114240,NA,NA,"Management","Property, Real Estate, and Community Association Managers","Property, real estate, and community association managers take care of the many aspects of residential, commercial, or industrial properties. They make sure the property looks nice, operates smoothly, and preserves its resale value.","Q037","2014-00-08",52610,25.29,"High school diploma or equivalent",297000,12,35000
"25","11-9151","Social and Community Service Managers","detailed",115330,0.8,"31.61",65750,0.4,"17.84","22.44","29.40","38.05","48.53",37100,46680,61160,79150,100940,NA,NA,"Management","Social and Community Service Managers","Social and community service managers coordinate and supervise social service programs and community organizations. They direct and lead staff who provide services to the public.","Q038","2014-00-08",59970,28.83,"Bachelor's degree",132900,21,27700
